ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,zfin_id_symbol,hgnc_symbol,description,entrezgene
ENSDARG00000059342,107.89040644152989,5.099630297743754,1.2546676586663386,4.064526779278313,4.813001298221536e-5,0.0011261060867659653,avil,,advillin [Source:ZFIN;Acc:ZDB-GENE-060421-6683],678618
ENSDARG00000043210,486.45803329179927,0.6887875291908772,0.20435072843660676,3.3706145040953515,7.500072961026264e-4,0.009504819085662359,nfic,,nuclear factor I/C [Source:ZFIN;Acc:ZDB-GENE-080305-2],100005568
ENSDARG00000015985,6517.8867095100695,0.6158300686767143,0.15265174436313755,4.034215732325594,5.478496815115317e-5,0.0012488253631587774,abcc9,,"ATP-binding cassette, sub-family C (CFTR/MRP), member 9 [Source:ZFIN;Acc:ZDB-GENE-050517-23]",561160
ENSDARG00000091715,294.9938517846566,22.34123736701924,2.6078687829053093,8.56685639763281,1.0634837964069697e-17,4.395910272448209e-15,si:dkey-162h11.2,,si:dkey-162h11.2 [Source:ZFIN;Acc:ZDB-GENE-121214-90],NA
ENSDARG00000045306,605.3967724712027,22.74878002932514,2.5748840190570284,8.834875614186373,1.0020969870685797e-18,6.357077595842962e-16,slc51a,,"solute carrier family 51, alpha subunit [Source:ZFIN;Acc:ZDB-GENE-040912-10]",447807
ENSDARG00000058284,127.02186075986798,-3.58462897629556,1.3274224641085097,-2.700443207206817,0.006924715864287837,0.04705202141101443,,,,NA
ENSDARG00000058280,36.636765551269846,-2.4824740261247507,0.8016238515300816,-3.0968065900065023,0.001956174592811928,0.01913830650169266,si:dkey-208b23.5,,si:dkey-208b23.5 [Source:ZFIN;Acc:ZDB-GENE-081104-362],561115
ENSDARG00000041689,852.6707027900824,-0.9892714479293412,0.1312654584540349,-7.536418640367248,4.8305411276278865e-14,1.2881962420032174e-11,usf1,,upstream transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1072],393266
ENSDARG00000096875,23.091513731125062,-8.267818505772718,2.383533813194838,-3.468722977624014,5.229383714151875e-4,0.007230749184613185,,,,NA
ENSDARG00000096876,26.168148257065447,-8.092909945740523,1.246165698057085,-6.494248684872562,8.34488051870975e-11,1.2103004780381316e-8,,,,NA
ENSDARG00000095005,161.96312481029284,-1.9268207447156271,0.49430559385248946,-3.898035483876455,9.697620896966038e-5,0.001947455027252265,si:dkey-21e2.10,GZMM (1 of many),si:dkey-21e2.10 [Source:ZFIN;Acc:ZDB-GENE-050208-778],556860
ENSDARG00000021681,305.70044793778345,-0.7877323067983176,0.1922754642188428,-4.096894577780042,4.1872947531636244e-5,0.001010205225420341,asrgl1,,asparaginase like 1 [Source:ZFIN;Acc:ZDB-GENE-050320-102],541402
ENSDARG00000071725,76.58341341745293,-0.7756571315470245,0.24533027980642444,-3.161685268361694,0.0015685900025883234,0.016277238767444774,znf1173,,zinc finger protein 1173 [Source:ZFIN;Acc:ZDB-GENE-080220-12],560662
ENSDARG00000020158,98.8842575912357,-1.1794185285286927,0.3311835016878657,-3.5612236796755434,3.691304462859573e-4,0.005521594812025348,spag6,,sperm associated antigen 6 [Source:ZFIN;Acc:ZDB-GENE-040704-53],431757
ENSDARG00000028306,919.0289863771781,-0.8518380635032506,0.23094788896015275,-3.6884427363188625,2.2563079181830138e-4,0.0037256120292181705,prph,,peripherin [Source:ZFIN;Acc:ZDB-GENE-990415-207],30259
ENSDARG00000101840,92.07062347318958,5.16184241459466,0.5529601424978963,9.334926729577617,1.0106112624155143e-20,1.0897465182246596e-17,,,Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012],NA
ENSDARG00000004291,1204.2661417858394,-0.7578322961696787,0.2519791986692103,-3.0075192721147395,0.002633894234590159,0.023531416034607542,hecw1b,,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1b [Source:ZFIN;Acc:ZDB-GENE-060503-2]",563730
ENSDARG00000087640,2044.6945644196933,0.5988660114326516,0.19336468816636745,3.0970805327051143,0.0019543677194657915,0.01913830650169266,nsfl1c,,NSFL1 (p97) cofactor (p47) [Source:ZFIN;Acc:ZDB-GENE-041114-160],492805
ENSDARG00000018281,15.869903896995773,-5.425560983302885,1.2802430684945643,-4.237914749800437,2.2560539612103953e-5,6.029352833187394e-4,cfap161,,cilia and flagella associated protein 161 [Source:ZFIN;Acc:ZDB-GENE-050417-296],550471
